기관유형,대표 전화번호,보건기관명,상위기관명,시군구,시도,주소,홈페이지 주소
보건소,02-2148-3514,종로구보건소,,종로구,서울특별시,"서울특별시 종로구 자하문로19길 36 (옥인동, 종로구보건소, 청운효자동자치회관) 1~4층",https://www.jongno.go.kr/healthMain.do
보건소,02-3396-6302,서울중구보건소,,중구,서울특별시,"서울특별시 중구 다산로39길 16 (무학동, 중구보건소) 중구보건소",http://www.junggu.seoul.kr/health/
보건소,02-2199-8350,용산구보건소,,용산구,서울특별시,"서울특별시 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운) 1층 보건소",https://www.yongsan.go.kr/health/main/main.do
보건소,02-2286-7115,성동구보건소,,성동구,서울특별시,"서울특별시 성동구 마장로23길 10 (홍익동, 성동구보건소) 성동구보건소",https://www.sd.go.kr/health/index.do
보건소,02-450-1422,광진구보건소,,광진구,서울특별시,"서울특별시 광진구 아차산로 400 (자양동, 광진구청) 광진구보건소",https://www.gwangjin.go.kr/health/main/main.do
보건소,02-2127-5404,동대문구보건소,,동대문구,서울특별시,"서울특별시 동대문구 천호대로 145 (용두동, 동대문구청) 보건소",https://www.ddm.go.kr/health
보건소,02-2094-0114,중랑구보건소,,중랑구,서울특별시,"서울특별시 중랑구 봉화산로 179 (신내동, 중랑구청) 중랑구 보건소",https://www.jungnang.go.kr/health/main.do#
보건소,02-2241-1749,성북구보건소,,성북구,서울특별시,"서울특별시 성북구 화랑로 63 (하월곡동, 성북구보건소) 성북구보건소",https://www.sb.go.kr/bogunso/mainPage.do
보건소,02-901-7600,강북구보건소,,강북구,서울특별시,"서울특별시 강북구 한천로 897 (번동, 강북보건소,번2동 주민센터) 강북구보건소",https://www.gangbuk.go.kr/health/main/main.do
보건소,02-2091-4600,도봉구보건소,,도봉구,서울특별시,"서울특별시 도봉구 방학로3길 117 (쌍문동, 도봉보건소) 도봉보건소",https://health.dobong.go.kr/
보건소,02-2116-3115,노원구보건소,,노원구,서울특별시,"서울특별시 노원구 노해로 437 (상계동, 노원구청), 보건소 노원구보건소",https://www.nowon.kr/health
보건소,02-351-8114,은평구보건소,,은평구,서울특별시,"서울특별시 은평구 은평로 195 (녹번동, 은평구청), 은평구보건소 은평구보건소",https://www.ep.go.kr/health/index.do
보건소,02-330-1899,서대문구보건소,,서대문구,서울특별시,"서울특별시 서대문구 연희로 242 (연희동, 서대문구보건소), 서대문구청별관 서대문구보건소",https://www.sdm.go.kr/health/
보건소,02-3153-9114,마포구보건소,,마포구,서울특별시,"서울특별시 마포구 월드컵로 212 (성산동, 마포구청), 마포구보건소 마포구보건소",https://www.mapo.go.kr/site/health/home
보건소,02-2620-4340,양천구보건소,,양천구,서울특별시,"서울특별시 양천구 목동서로 339 (신정동, 양천보건소) 양천구보건소",https://www.yangcheon.go.kr/health/health/main.do
보건소,02-2600-5800,강서구보건소,,강서구,서울특별시,"서울특별시 강서구 공항대로 561 (염창동, 강서보건소) 강서구보건소",https://www.gangseo.seoul.kr/health/index
보건소,02-860-2600,구로구보건소,,구로구,서울특별시,"서울특별시 구로구 구로중앙로28길 66 (구로동, 구로5동 주민센터, 구로구보건소) 구로보건소",https://www.guro.go.kr/health
보건소,02-2627-2421,금천구보건소,,금천구,서울특별시,"서울특별시 금천구 시흥대로73길 70 (시흥동, 금천구청종합청사), 금천구보건소 금천구보건소",https://www.geumcheon.go.kr/health/index.do
보건소,02-2670-3114,영등포구보건소,,영등포구,서울특별시,"서울특별시 영등포구 당산로 123 (당산동3가, 영등포구청) 영등포구보건소",https://www.ydp.go.kr/health
보건소,02-820-1423,동작구보건소,,동작구,서울특별시,서울특별시 동작구 만양로3길 80 (노량진동) 1~9층,https://www.dongjak.go.kr/healthcare/main/main.do
보건소,02-879-7114,관악구보건소,,관악구,서울특별시,"서울특별시 관악구 관악로 145 (봉천동, 관악구청), 2동 관악구보건소",https://www.gwanak.go.kr/site/health/main.do
보건소,02-2155-8114,서초구보건소,,서초구,서울특별시,"서울특별시 서초구 남부순환로 2584 (서초동, 서초구청, 서초구의회), 보건소 서초구 보건소",https://www.seocho.go.kr/site/sh/main.do
보건소,02-3423-7200,강남구보건소,,강남구,서울특별시,"서울특별시 강남구 선릉로 668 (삼성동, 강남구 보건소) 강남구 보건소",https://health.gangnam.go.kr/
보건소,02-2147-2356,송파구보건소,,송파구,서울특별시,"서울특별시 송파구 올림픽로 326 (신천동, 송파구청), 보건소 보건소",https://www.songpa.go.kr/ehealth
보건소,02-3425-6600,강동구보건소,,강동구,서울특별시,"서울특별시 강동구 성내로 45 (성내동, 강동구보건소) .",https://health.gangdong.go.kr/health
보건소,051-600-4741,부산중구보건소,,중구,부산광역시,"부산광역시 중구 중구로 120 (대청동1가, 중구청) 중구보건소",https://www.bsjunggu.go.kr/health
보건소,051-242-4000,부산서구보건소,,서구,부산광역시,"부산광역시 서구 부용로 30 (부용동2가, 서구보건소 부민노인복지관) 서구보건소",https://www.bsseogu.go.kr/health/index.bsseogu
보건소,051-440-6500,부산동구보건소,,동구,부산광역시,"부산광역시 동구 구청로 1 (수정동, 동구청), 보건소 보건소",https://www.bsdonggu.go.kr/health/index.donggu
보건소,051-416-4000,영도구보건소,,영도구,부산광역시,"부산광역시 영도구 태종로 423 (청학동, 영도구청), 보건소동 영도구 보건소",https://www.yeongdo.go.kr/health.web
보건소,051-645-4000,부산진구보건소,,부산진구,부산광역시,"부산광역시 부산진구 황령대로8번길 36 (범천동, 부산진보건소) 부산진구보건소",https://www.busanjin.go.kr/health/index.busanjin
보건소,051-555-4000,동래구보건소,,동래구,부산광역시,"부산광역시 동래구 명륜로187번길 56 (명륜동, 동래구보건소) 동래구보건소",http://www.dongnae.go.kr/health
보건소,051-607-6460,부산남구보건소,,남구,부산광역시,"부산광역시 남구 못골로 23 (대연동, 남구보건소) 남구보건소",https://www.bsnamgu.go.kr/index.namgu?menuCd=DOM_000000115000000000
보건소,051-309-4500,부산북구보건소,,북구,부산광역시,"부산광역시 북구 금곡대로 348 (화명동, 북구보건소), 북구보건소 북구보건소",https://www.bsbukgu.go.kr/health/index.bsbukgu
보건소,051-746-4000,해운대구보건소,,해운대구,부산광역시,"부산광역시 해운대구 양운로37번길 59 (좌동, 해운대구보건소)",http://health.haeundae.go.kr
보건소,051-220-5701,사하구보건소,,사하구,부산광역시,"부산광역시 사하구 하신중앙로 185 (신평동, 사하구 제2청사, 신평2동행정복지센터) 사하구보건소",https://www.saha.go.kr/health/main.do
보건소,051-519-5050,금정구보건소,,금정구,부산광역시,"부산광역시 금정구 중앙대로 1777 (부곡동, 금정구청), 보건소 보건소",https://www.geumjeong.go.kr/health/index.geumj
보건소,051-970-3415,부산강서구보건소,,강서구,부산광역시,"부산광역시 강서구 공항로811번길 10 (대저2동, 강서브라이트센터) 보건소",https://www.bsgangseo.go.kr/health
보건소,051-665-4783,연제구보건소,,연제구,부산광역시,"부산광역시 연제구 연제로 2 (연산동, 연제구청), 연제구 보건소 연제구보건소",https://www.yeonje.go.kr/health
보건소,051-752-4000,수영구보건소,,수영구,부산광역시,"부산광역시 수영구 수영로 637-5 (광안동, 수영구 보건소), 본관 수영구보건소",https://www.suyeong.go.kr/health
보건소,051-310-4791,사상구보건소,,사상구,부산광역시,"부산광역시 사상구 학감대로 242 (감전동, 사상구청) 사상구보건소",https://www.sasang.go.kr/health/index.sasang
보건소,051-709-4796,기장군보건소,,기장군,부산광역시,부산광역시 기장군 기장읍 기장대로 560 (기장군청) 기장군 보건소,https://www.gijang.go.kr/health/index.gijang
보건소,053-661-3121,대구광역시 중구보건소,,중구,대구광역시,"대구광역시 중구 태평로 45 (태평로3가, 중구보건소) 중구보건소",https://www.jung.daegu.kr/new/healthcenter/pages/main/
보건소,053-662-3300,대구광역시 동구보건소,,동구,대구광역시,"대구광역시 동구 동촌로 79 (검사동, 동구보건소)",https://www.dong.daegu.kr/health/
보건소,053-663-3111,대구광역시 서구보건소,,서구,대구광역시,"대구광역시 서구 국채보상로 257 (평리동, 서구청), 서구보건소 서구보건소",https://www.dgs.go.kr/health/
보건소,053-664-6000,대구광역시 남구보건소,,남구,대구광역시,"대구광역시 남구 영선길 34 (대명동, 남구 보건소), 보건의료서비스센터 지하1층~지상5층",https://nam.daegu.kr/health/index.do
보건소,053-665-3211,대구광역시 북구보건소,,북구,대구광역시,"대구광역시 북구 성북로 49 (침산동, 북구보건소) 49",http://www.buk.daegu.kr/health/index.do
보건소,053-666-3111,수성구보건소,,수성구,대구광역시,"대구광역시 수성구 수성로 213 (중동, 수성구보건소), 수성구보건소(구관) 수성구보건소",https://www.suseong.kr/health/index.do
보건소,053-667-5611,달서구보건소,,달서구,대구광역시,"대구광역시 달서구 학산로 45 (월성동, 달서구청) 별관(월성동) 달서구보건소",https://www.dalseo.daegu.kr/healthcenter
보건소,053-668-3333,달성군 보건소,,달성군,대구광역시,대구광역시 달성군 현풍읍 현풍중앙로 27 (달성군 보건소) 달성군보건소,https://www.dalseong.daegu.kr/healthcenter/index.do
보건소,054-380-7401,군위군보건소,,군위군,대구광역시,대구광역시 군위군 군위읍 군청로 70 (군위군보건소) 군위군보건소,https://www.gunwi.go.kr/health/
보건소,032-760-6010,인천광역시중구보건소,,중구,인천광역시,"인천광역시 중구 참외전로72번길 21 (전동, 중구보건소) 중구보건소",https://www.icjg.go.kr/health/index
보건소,032-770-5700,인천광역시동구보건소,,동구,인천광역시,"인천광역시 동구 석수로 90 (만석동, 인천광역시동구보건소), 1동 동구보건소",https://www.icdonggu.go.kr/clinic/
보건소,032-880-5310,인천광역시미추홀구보건소,,미추홀구,인천광역시,"인천광역시 미추홀구 주안서로 25 (도화동, 미추홀구 보건소) 미추홀구보건소",https://www.michuhol.go.kr/clinic/main.do
보건소,032-7498-8000,연수구보건소,,연수구,인천광역시,"인천광역시 연수구 함박뫼로 13 (청학동, 연수보건소) 연수구보건소",https://www.yeonsu.go.kr/clinic/
보건소,032-464-4001,인천광역시남동구보건소,,남동구,인천광역시,"인천광역시 남동구 소래로 633 (만수동, 남동구청) 남동구보건소",https://www.namdong.go.kr/clinic/
보건소,032-509-8200,인천광역시부평구보건소,,부평구,인천광역시,"인천광역시 부평구 부흥로 291 (부평동, 부평구 보건소) 부평구 보건소",https://www.icbp.go.kr/clinic/
보건소,032-430-7801,계양구보건소,,계양구,인천광역시,"인천광역시 계양구 계양문화로 63 (계산동, 계양구보건소) 계양구보건소",https://www.gyeyang.go.kr/open_content/clinic/
보건소,032-718-0400,인천광역시서구보건소,,서구,인천광역시,"인천광역시 서구 탁옥로 39 (심곡동, 서구보건소) 서구보건소",https://www.seo.incheon.kr/open_content/clinic/
보건소,032-930-4061,강화군보건소,,강화군,인천광역시,인천광역시 강화군 강화읍 충렬사로 26-1 강화군보건소,https://www.ganghwa.go.kr/open_content/clinic/
보건소,032-899-3112,옹진군보건소,,옹진군,인천광역시,"인천광역시 미추홀구 매소홀로 120 (용현동, 옹진군청) 옹진군보건소",https://www.ongjin.go.kr/open_content/clinic/
보건소,062-608-3265,광주동구보건소,,동구,광주광역시,광주광역시 동구 서남로 1 (서석동) 별관,www.donggu.kr
보건소,062-350-4108,광주서구보건소,,서구,광주광역시,"광주광역시 서구 경열로 33 (농성동, 서구청) 서구보건소",https://www.seogu.gwangju.kr/health/
보건소,062-607-4311,광주남구보건소,,남구,광주광역시,"광주광역시 남구 봉선로 1 (봉선동, 남구청) 5층",www.namgu.gwangju.kr
보건소,062-410-8112,광주북구보건소,,북구,광주광역시,"광주광역시 북구 우치로 65 (중흥동, 북구보건소) 북구보건소",https://bukgu.gwangju.kr/health/
보건소,062-960-8736,광산구보건소,,광산구,광주광역시,"광주광역시 광산구 하남마항로48번길 7 (흑석동, 하남3지구 주민복합시설(보건소)) 광산구보건소",https://www.gwangsan.go.kr/health/
보건소,042-251-4114,대전광역시 동구보건소,,동구,대전광역시,"대전광역시 동구 동구청로 147 (가오동, 동구청) 보건소",https://www.donggu.go.kr/dg/kor/49/health
보건소,042-288-8000,대전광역시 중구보건소,,중구,대전광역시,"대전광역시 중구 산성로 63 (문화동, 중구보건소) 1층",https://www.djjunggu.go.kr/health/index.do
보건소,042-288-4500,대전광역시 서구보건소,,서구,대전광역시,"대전광역시 서구 만년로 74 (만년동, 대전서구보건소) 4층 보건행정",https://www.seogu.go.kr/health/index.do
보건소,042-611-5000,대전광역시 유성구보건소,,유성구,대전광역시,"대전광역시 유성구 박산로 177 (구암동, 유성구보건소) 0",https://www.yuseong.go.kr/health/index.do
보건소,042-608-5499,대덕구보건소,,대덕구,대전광역시,"대전광역시 대덕구 석봉로38번길 55 (석봉동, 대덕구보건소) 2층",https://www.daedeok.go.kr/chc/CHC.do
보건소,052-290-4300,울산중구보건소,,중구,울산광역시,"울산광역시 중구 외솔큰길 225 (남외동, 중구보건소), 중구보건소 울산광역시 중구보건소",https://www.junggu.ulsan.kr/health
보건소,052-226-2805,울산남구보건소,,남구,울산광역시,"울산광역시 남구 삼산중로 132 (삼산동, 울산남구보건소) 울산광역시 남구보건소",https://www.ulsannamgu.go.kr/health/mainPage.do
보건소,052-209-4080,울산동구보건소,,동구,울산광역시,"울산광역시 동구 봉수로 155 (화정동, 동구청사), 종합사회복지관,보건소,동구청소년문화의집 동구보건소",https://www.donggu.ulsan.kr/health/main.do
보건소,052-289-3450,울산북구보건소,,북구,울산광역시,"울산광역시 북구 산업로 1018 (연암동, 보건소) .",https://www.bukgu.ulsan.kr/health/
보건소,052-204-2798,울주군보건소,,울주군,울산광역시,울산광역시 울주군 삼남읍 서향교1길 67-12 (울주군보건소) 울주군보건소,https://www.ulju.ulsan.kr/health/main.do
보건소,044-301-2000,세종특별자치시보건소,,세종,세종특별자치시,세종특별자치시  조치원읍 대첩로 32 (세종특별자치시보건소) 보건소,https://www.sejong.go.kr/health
보건소,031-5191-0119,장안구보건소,,수원시 장안구,경기도,"경기도 수원시 장안구 송원로 101 (조원동, 장안구청, 장안보건소, 장안종합구민회관), 장안보건소 장안구보건소",https://health.suwon.go.kr/
보건소,031-5191-0318,수원시권선구보건소,,수원시 권선구,경기도,"경기도 수원시 권선구 호매실로 22-50 (탑동, 권선구보건소) 권선구보건소",https://health.suwon.go.kr/
보건소,031-5191-0521,팔달구보건소,,수원시 팔달구,경기도,"경기도 수원시 팔달구 팔달산로 6 (교동, 팔달구 보건소) 팔달구보건소",https://health.suwon.go.kr
보건소,031-5191-0718,영통구보건소,,수원시 영통구,경기도,"경기도 수원시 영통구 영통로 396 (영통동, 영통구보건소) 영통구보건소",https://health.suwon.go.kr
보건소,031-729-3870,성남시수정구보건소,,성남시 수정구,경기도,"경기도 성남시 수정구 수정로 218 (신흥동, 수정구보건소) 수정구보건소",https://www.seongnam.go.kr/health/
보건소,031-729-3930,성남시중원구보건소,,성남시 중원구,경기도,"경기도 성남시 중원구 금상로 137 (상대원동, 노인보건센터, 중원구보건소), 중원구보건소 중원구보건소",https://www.seongnam.go.kr/health
보건소,031-729-3990,성남시분당구보건소,,성남시 분당구,경기도,"경기도 성남시 분당구 양현로 306 (야탑동, 분당보건소) 분당구보건소",http://www.seongnam.go.kr/health/
보건소,031-870-6010,의정부시보건소,,의정부시,경기도,"경기도 의정부시 범골로 131 (의정부동, 의정부시보건소) 의정부시보건소",https://www.ui4u.go.kr/health/main.do
보건소,031-8045-3472,안양시 만안구보건소,,안양시 만안구,경기도,"경기도 안양시 만안구 문예로 48 (안양동, 만안구보건소) 만안구보건소",https://www.anyang.go.kr/health/index.do
보건소,031-8045-4472,안양시 동안구보건소,,안양시 동안구,경기도,"경기도 안양시 동안구 평촌대로253번길 41 (비산동, 동안구보건소) 동안구보건소",https://www.anyang.go.kr/health/index.do
보건소,032-625-4225,부천시보건소,,부천시 원미구,경기도,"경기도 부천시 원미구 옥산로10번길 16 (중동, 부천시보건소) 부천시보건소",http://pubhealth.bucheon.go.kr/site/main/index161
보건소,032-625-4252,소사보건소,,부천시 소사구,경기도,"경기도 부천시 소사구 경인옛로 73 (소사본동, 소사구청) 1층,2층",pubhealth.bucheon.go.kr
보건소,032-625-4373,부천시 오정보건소,,부천시 오정구,경기도,"경기도 부천시 오정구 성오로 172 (오정동, 오정구청) 1,2층 오정보건소",https://pubhealth.bucheon.go.kr
보건소,02-2680-2862,광명시보건소,,광명시,경기도,"경기도 광명시 오리로 613 (하안동, 광명시보건소) 광명시보건소",https://www.gm.go.kr/health/index.do
보건소,031-8024-5559,평택시평택보건소,,평택시,경기도,경기도 평택시 평택5로 56 (비전동) 평택보건소,https://www.pyeongtaek.go.kr/health/main.do
보건소,031-8024-6615,평택시송탄보건소,,평택시,경기도,"경기도 평택시 서정로 295 (서정동, 송탄보건소) .",https://www.pyeongtaek.go.kr/health/main.do
보건소,031-860-3372,동두천시보건소,,동두천시,경기도,"경기도 동두천시 중앙로 167 (생연동, 동두천시보건소) 동두천시보건소",https://www.ddc.go.kr/
보건소,031-481-5551,안산시상록수보건소,,안산시 상록구,경기도,"경기도 안산시 상록구 차돌배기로1길 5 (사동, 상록수보건소) 상록수보건소",https://www.ansan.go.kr/snshealth/main/main.do
보건소,031-481-6347,안산시단원보건소,,안산시 단원구,경기도,"경기도 안산시 단원구 화랑로 250 (초지동, 단원구청, 단원보건소) 단원보건소",https://www.ansan.go.kr/health/main/main.do
보건소,031-8075-4006,고양시덕양구보건소,,고양시 덕양구,경기도,"경기도 고양시 덕양구 원당로33번길 28 (주교동, 덕양구보건소) 주교동 603지번",https://www.goyang.go.kr/health/index.do
보건소,031-8075-4087,일산동구보건소,,고양시 일산동구,경기도,경기도 고양시 일산동구 중앙로 1100 (백석동) 일산동구보건소,https://www.goyang.go.kr/health/index.do
보건소,031-8075-4160,일산서구보건소,,고양시 일산서구,경기도,"경기도 고양시 일산서구 일중로 54 (일산동, 일산서구보건소) 일산서구보건소",https://www.goyang.go.kr/health/health01/health01_6/health01_6_1.jsp
보건소,02-2150-3801,과천시보건소,,과천시,경기도,"경기도 과천시 관문로 69 (중앙동, 과천시청), 과천시 보건소 과천시보건소",https://www.gccity.go.kr/ghc/main.do
보건소,031-550-8967,구리시보건소,,구리시,경기도,"경기도 구리시 건원대로34번길 84 (인창동, 구리시 보건소) 구리시 보건소",https://www.guri.go.kr/health/index.do
보건소,031-590-8888,남양주보건소,,남양주시,경기도,"경기도 남양주시 경춘로 522 (다산동, 남양주시청제2청사), 보건소 제2청사",https://www.nyj.go.kr/health/4267
보건소,031-590-8040,남양주동부보건소,,남양주시,경기도,경기도 남양주시 화도읍 비룡로 59 (화도수동행정복지센터) 별관,해당사항없음
보건소,031-590-4771,남양주풍양보건소,,남양주시,경기도,경기도 남양주시 진접읍 해밀예당1로 30-39 남양주풍양보건소,https://www.nyj.go.kr/health/index.do
보건소,031-8036-6025,오산시보건소,,오산시,경기도,"경기도 오산시 경기동로 59 (오산동, 오산시보건소) 오산시보건소",https://www.osan.go.kr/depart/contents.do?mId=0502070000
