CONTENTS,END_PRD_DE,FULL_PATH_ID,ITEM03,LINK_URL,MT_ATITLE,ORG_ID,ORG_NM,QUERY,REC_TBL_SE,STAT_DB_CNT,STAT_ID,STAT_NM,STRT_PRD_DE,TBL_ID,TBL_NM,TBL_VIEW_URL,VW_CD,_keyword
시군구별 조율 표준화율표준오차 조율표준오차 응답자수 표준화율 함양군 합천군 고성군 남해군 산청군 통영시 의령군 창녕군 하동군 양산시 김해시 함안군 거창군 마산 진해 창원 서귀포시 제주시 서부 구미 선산 남구 북구 밀양시 거제시 창원시 사천시 진주시 관악구 구로구 영등포구 강서구 금천구 동작구 성동구 양천구 중구 강남구 강북구 노원구 서대문구 은평구 중랑구 광진구 종로구 송파구 마포구 도봉구 동대문구 서초구 성북구 강동구 용산구 금정구 동구 사하구 서구 해운대구 부산진구 ...,2019,F > F_001 > F_001_004 > F_001_004_001,"ㅇ정의: 버스(광역 시내, 시외버스, 전세버스)를 탈 때 안전벨트를 항상 착용하는 사람의 분율(%) ㅇ해당 문항은 2014년부터 조사 실시",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_117075_BUSBELT_WEAR,보건 > 지역사회건강조사 > 안전의식(손상) 및 심폐소생술 > 안전의식(손상),177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2014,DT_117075_BUSBELT_WEAR,시·군·구별 버스 안전벨트 착용률,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_004.3;F_001_004_001.4;,MT_ZTITLE,지역사회건강조사
시군구별 조율표준오차 표준화율 응답자수 조율 표준화율표준오차 영등포구 중랑구 기장군 남구 수영구 수성구 군위군 강화군 북구 중구 세종특별자치시 김포시 남양주 풍양 양주시 하남시 권선구 영통구 안성시 오산시 서부 고성군 양구군 철원군 서원구 계룡시 천안시 목포시 전라남도 광양시 나주시 고령군 상주시 영양군 고성군 김해시 통영시 합천군 서부 강북구 서초구 연제구 달서구 북구 동구 중구 일산서구 동두천시 연천군 광주시 분당구 수지구 강원특별자치도 삼척시 양양군 보은군 서산시 ...,2025,F > F_001 > F_001_002 > F_001_002_002,"○ 정의: 본인의 혈당수치를 알고 있는 분율(%) ○ 해당 문항은 2011년부터 조사를 실시하였으며, 순환주기에 따라 2012년, 2015년에는 조사를 실시하지 않음 ○ 2023년부터 ＂군위군＂ 관할구역 변경: (기존) 경상북도 -> (변경후) 대구광역시",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_117075_DIA_AWAR,보건 > 지역사회건강조사 > 이환 및 의료이용 > 당뇨병,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2011,DT_117075_DIA_AWAR,시·군·구별 혈당수치 인지율,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_002.3;F_001_002_002.4;,MT_ZTITLE,지역사회건강조사
시도별 표준화율표준오차 조율표준오차 응답자수 조율 표준화율 부산광역시 광주광역시 울산광역시 전북특별자치도 전라남도 경상남도 세종특별자치시 제주특별자치도 경기도 강원특별자치도 충청남도 서울특별시 인천광역시 대전광역시 대구광역시 충청북도 경상북도,2025,F > F_001 > F_001_002 > F_001_002_002,"○ 정의: 의사에게 당뇨병을 진단받은 30세 이상 사람 중 평생 일반담배(궐련)를 5갑(100개비) 이상 흡연한 사람으로서 현재 흡연하는 남자(＂매일 피움＂ 또는 ＂가끔 피움＂)의 분율(%) ○ 해당 지표는 ＂30세 이상 남자 당뇨병 진단 경험자＂로 분모를 제한하여 산출하므로, 통계의 안정성을 위해 시·군·구 단위 결과를 산출하지 않음 ○ * : 변동계수(coefficient fo variation) 25-50%, ** : 변동계수 50% 이상",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_117075_DIA_DOCTOR_SM_MALE,보건 > 지역사회건강조사 > 이환 및 의료이용 > 당뇨병,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_117075_DIA_DOCTOR_SM_MALE,시·도별 당뇨병 진단 경험자(30세 이상)의 남자 현재흡연율,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_002.3;F_001_002_002.4;,MT_ZTITLE,지역사회건강조사
시도별 조율표준오차 표준화율 표준화율표준오차 조율 응답자수 충청북도 대전광역시 대구광역시 경기도 경상남도 세종특별자치시 제주특별자치도 울산광역시 전북특별자치도 인천광역시 광주광역시 경상북도 강원특별자치도 충청남도 전라남도 서울특별시 부산광역시,2025,F > F_001 > F_001_002 > F_001_002_002,"○ 정의: 의사에게 당뇨병을 진단받은 30세 이상 사람 중 최근 1주일 동안 1회 10분 이상, 1일 30분 이상 걷기를 주 5일 이상 실천한 분율(%) ○ 해당 지표는 ＂30세 이상 당뇨병 진단 경험자＂로 분모를 제한하여 산출하므로, 통계의 안정성을 위해 시·군·구 단위 결과를 산출하지 않음",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_117075_DIA_DOCTOR_WALK,보건 > 지역사회건강조사 > 이환 및 의료이용 > 당뇨병,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_117075_DIA_DOCTOR_WALK,시·도별 당뇨병 진단 경험자(30세 이상)의 걷기 실천율,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_002.3;F_001_002_002.4;,MT_ZTITLE,지역사회건강조사
시군구별 조율표준오차 표준화율 조율 표준화율표준오차 응답자수 광진구 성북구 은평구 중구 북구 인천광역시 강화군 유성구 북구 일산서구 과천시 동두천시 오정구 단원구 안성시 동안구 기흥구 동해시 영월군 인제군 홍천군 화천군 충청북도 제천시 증평군 서원구 금산군 논산시 서천군 청양군 태안군 고창군 김제시 남원시 전주시 전라남도 진도군 화순군 경주시 고령군 구미시 문경시 영양군 칠곡군 김해시 마산 사천시 산청군 강남구 관악구 양천구 용산구 동래구 사하구 연제구 영도구 미추홀구 ...,2025,F > F_001 > F_001_001 > F_001_001_006,○ 2022년 지표명 변경(이전 지표명: 아침결식 예방인구비율) ○ 2023년부터 ＂군위군＂ 관할구역 변경: (기존) 경상북도 -> (변경후) 대구광역시 ○ 정의: 최근 1주일 동안 주 평균 아침식사를 5일 이상 한 분율(%),http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_117075_DIE_BF02,보건 > 지역사회건강조사 > 건강행태 > 식생활,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2019,DT_117075_DIE_BF02,시·군·구별 아침식사 실천율,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_001.3;F_001_001_006.4;,MT_ZTITLE,지역사회건강조사
시군구별 표준화율표준오차 조율표준오차 조율 응답자수 표준화율 동대문구 동작구 영등포구 중랑구 금산군 보령시 부여군 예산군 청양군 공주시 논산시 서산시 서천군 연기군 홍성군 계룡시 당진시 정읍시 무주군 제주시 읍면 서귀포시 읍면 제주시 제주 동부 서부 서부 동부 전라남도 제주특별자치도 서울특별시 대구광역시 인천광역시 울산광역시 경기도 충청북도 충청남도 강원도 경상남도 전라북도 세종특별자치시 경상북도 광주광역시 부산광역시 대전광역시 북구 남구 달서구 서구 남동구 연수구 미추...,2018,F > F_001 > F_001_001 > F_001_001_006,"ㅇ정의: 최근 1주일 동안 아침식사를 주 5회 이상 먹은 사람의 분율(%) ㅇ해당 문항은 2010년부터 조사를 실시하였으나, 2019년 문항 변경으로 2010-2018년 시계열 단절이 발생",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_117075_DIE_BREAKFAST,보건 > 지역사회건강조사 > 건강행태 > 식생활,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2010,DT_117075_DIE_BREAKFAST,시·군·구별 아침결식 예방인구비율,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_001.3;F_001_001_006.4;,MT_ZTITLE,지역사회건강조사
시군구별 조율표준오차 표준화율 조율 응답자수 표준화율표준오차 강동구 서대문구 성북구 금천구 강서구 노원구 도봉구 성동구 은평구 종로구 관악구 서초구 영등포구 용산구 강남구 강북구 광진구 동작구 구로구 동대문구 마포구 송파구 양천구 중구 중랑구 강서구 영도구 북구 수영구 금정구 동구 해운대구 동래구 부산진구 중구 남구 사상구 서구 연제구 기장군 사하구 달서구 북구 서구 남구 동구 중구 달성군 수성구 서구 연수구 옹진군 강화군 계양구 중구 동구 부평구 미추홀구 남동구 서구 ...,2019,F > F_001 > F_001_001 > F_001_001_006,"평소 식습관, 조리음식 등에서 저염선호하는 사람의 분율로 3문항 중 한 가지만 선택한 경우의 사람의 분율(%)로 정의한다. 해당 문항은 2018년에 조사하지 않음",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_117075_DIE_LOW_SALT_1,보건 > 지역사회건강조사 > 건강행태 > 식생활,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_117075_DIE_LOW_SALT_1,시·군·구별 저염선호율(type I),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_001.3;F_001_001_006.4;,MT_ZTITLE,지역사회건강조사
시군구별 표준화율표준오차 조율 조율표준오차 표준화율 응답자수 평택 송탄 영월군 철원군 평창군 홍천군 삼척시 동해시 속초시 양구군 춘천시 횡성군 화천군 원주시 인제군 정선군 태백시 강릉시 고성군 청원군 단양군 보은군 흥덕구 청원구 상당구 서원구 당진시 예산군 홍성군 논산시 계룡시 서천군 태안군 아산시 연기군 공주시 보령시 부여군 청양군 금산군 서산시 천안시 무주군 순창군 익산시 김제시 남원시 부안군 진안군 고창군 임실군 장수군 정읍시 군산시 전주시 완주군 고흥군 강진군 신...,2019,F > F_001 > F_001_001 > F_001_001_009,"ㅇ정의: 건강관련 삶의 질의 5가지 차원(운동능력, 자기관리, 일상 활동, 통증/불편, 불안/우울)의 기술체계를 종합한 지표",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_117075_HEALTH_EQ_5D,보건 > 지역사회건강조사 > 건강행태 > 활동제한 및 삶의 질,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_117075_HEALTH_EQ_5D,시·군·구별 삶의 질 지수(EQ-5D Index),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_001.3;F_001_001_009.4;,MT_ZTITLE,지역사회건강조사
시군구별 표준화율 표준화율표준오차 응답자수 조율 조율표준오차 관악구 용산구 종로구 남구 부산진구 서구 해운대구 달성군 중구 연수구 중구 광산구 경기도 양평군 의정부시 포천시 수원시 영통구 안양시 고성군 인제군 진천군 연기군 전주시 무안군 장성군 경산시 봉화군 고령군 영덕군 울진군 청도군 북구 경상남도 사천시 동부 서부 서대문구 영등포구 중랑구 사상구 연제구 중구 대구광역시 남구 동구 군위군 서구 고양시 부천시 군포시 성남시 용인시 처인구 의왕시 서부 동탄 강원특별자치도 ...,2025,F > F_001 > F_001_002 > F_001_002_001,"○ 정의: 본인의 혈압수치를 알고 있는 분율(%) ○ 해당 문항은 2011년부터 조사를 실시하였으며, 순환주기에 따라 2012년, 2015년에는 조사를 실시하지 않음 ○ 2023년부터 ＂군위군＂ 관할구역 변경: (기존) 경상북도 -> (변경후) 대구광역시",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_117075_HYPER_AWAR,보건 > 지역사회건강조사 > 이환 및 의료이용 > 고혈압,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2011,DT_117075_HYPER_AWAR,시·군·구별 혈압수치 인지율,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_002.3;F_001_002_001.4;,MT_ZTITLE,지역사회건강조사
시도별 표준화율 응답자수 조율표준오차 표준화율표준오차 조율 대구광역시 경기도 경상북도 충청남도 서울특별시 대전광역시 강원특별자치도 전라남도 광주광역시 인천광역시 울산광역시 세종특별자치시 충청북도 전북특별자치도 부산광역시 제주특별자치도 경상남도,2025,F > F_001 > F_001_002 > F_001_002_001,"○ 정의: 의사에게 고혈압을 진단받은 30세 이상 사람 중 평생 일반담배(궐련)를 5갑(100개비) 이상 흡연한 사람으로서 현재 흡연하는 남자(＂매일 피움＂ 또는 ＂가끔 피움＂)의 분율(%) ○ 해당 지표는 ＂30세 이상 남자 고혈압 진단 경험자＂로 분모를 제한하여 산출하므로, 통계의 안정성을 위하여 시·군·구 단위 결과를 산출하지 않음",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_117075_HYPER_DOCTOR_SM_MALE,보건 > 지역사회건강조사 > 이환 및 의료이용 > 고혈압,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_117075_HYPER_DOCTOR_SM_MALE,시·도별 고혈압 진단 경험자(30세 이상)의 남자 현재흡연율,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_002.3;F_001_002_001.4;,MT_ZTITLE,지역사회건강조사
시도별 조율표준오차 조율 응답자수 표준화율 표준화율표준오차 강원특별자치도 전북특별자치도 경상남도 부산광역시 제주특별자치도 광주광역시 울산광역시 전라남도 서울특별시 경기도 충청북도 충청남도 경상북도 대구광역시 인천광역시 대전광역시 세종특별자치시,2025,F > F_001 > F_001_002 > F_001_002_001,"○ 정의: 의사에게 고혈압 진단받은 30세 이상 사람 중 최근 1주일 동안 1회 10분 이상, 1일 30분 이상 걷기를 주 5일 이상 실천한 분율(%) ○ 해당 지표는 ＂30세 이상 고혈압 진단 경험자＂로 분모를 제한하여 산출하므로, 통계의 안정성을 위하여 시·군·구 단위 결과를 산출하지 않음",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_117075_HYPER_DOCTOR_WALK,보건 > 지역사회건강조사 > 이환 및 의료이용 > 고혈압,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_117075_HYPER_DOCTOR_WALK,시·도별 고혈압 진단 경험자(30세 이상)의 걷기 실천율,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_002.3;F_001_002_001.4;,MT_ZTITLE,지역사회건강조사
