CONTENTS,END_PRD_DE,FULL_PATH_ID,ITEM03,LINK_URL,MT_ATITLE,ORG_ID,ORG_NM,QUERY,REC_TBL_SE,STAT_DB_CNT,STAT_ID,STAT_NM,STRT_PRD_DE,TBL_ID,TBL_NM,TBL_VIEW_URL,VW_CD,_keyword
성별 행정구역별 80 - 84세 0 - 4 세 5 - 9 세 15 - 19세 20 - 24세 25 - 29세 30 - 34세 70 - 74세 75 - 79세 45 - 49세 95세 이상 10 - 14세 55 - 59세 추계인구 60 - 64세 85 - 89세 90 - 94세 35 - 39세 65 - 69세 40 - 44세 50 - 54세 계 남자 여자 동대문구 성북구 도봉구 구로구 영등포구 광산구 동작구 광주광역시 북구 의정부시 안양시 부천시 양주시 여주시 강릉시 태백시...,2042,101,"■ 자료제공처: 국가데이터처 지역통계기획팀 ■ 자료원출처: 각 시도(장래인구추계) ■ 자료제공주기: 2,3년 ■ 자료제공시기: 작성기준년도 익익년12월 □  정의  - 추계인구: 7월 1일 시점의 연앙인구로, 향후 인구변동(출생, 사망, 인구이동)별 가정에 따라 추계한 장래 인구규모 및 성 연령별 구조에 대한 추정치 □  참고사항  - 추계인구는 7월 1일 시점의 인구로, 해당 지역에 거주하는 내국인과 외국인을 대상으로 함 - 시도별 장래인구추계 이후에 시군구별 자료가 제공되므로 추계 기준시점에 유의하여 자료를 이용해야 함",http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1BPB002E,주제별 > 인구,101,국가데이터처,e-지방지표,N,119,9B08007,e-지방지표,2022,DT_1BPB002E,추계인구(시/군/구),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=101.1;,MT_GTITLE01,e-지방지표
행정구역별 당해년가격 2020년 기준년가격 강북구 금천구 관악구 강동구 광산구 전라남도 광양시 함평군 중구 강서구 사상구 기장군 수성구 남구 부평구 옹진군 강릉시 삼척시 영월군 양구군 청주시 보은군 단양군 보령시 예산군 임실군 경주시 영양군 울진군 함안군 고성군 하동군 서귀포시 용산구 성동구 영등포구 동래구 북구 연제구 수영구 중구 계양구 서구 대덕구 중구 북구 안산시 여주시 동해시 홍천군 통합청주시 청원군 논산시 부여군 청양군 김제시 장수군 순창군 고창군 부안군 군위군...,2022,109,,http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1C65_03E,주제별 > 성장과 안정,101,국가데이터처,e-지방지표,N,119,9B08007,e-지방지표,2015,DT_1C65_03E,GRDP(시/군/구),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=109.1;,MT_GTITLE01,e-지방지표
"행정구역별 아동 십만명당 안전사고사망률  (A÷B×100,000) 안전사고사망자수(0-14세)  (A) 주민등록연앙인구(0-14세)  (B) 강원특별자치도 경상남도 광주광역시 대전광역시 전북특별자치도 제주특별자치도 부산광역시 울산광역시 서울특별시 충청북도 세종특별자치시 경기도 전국 대구광역시 인천광역시 충청남도 전라남도 경상북도 전남광주통합특별시",2024,110,"- 행정구역별>시도>세종특별자치시: 2012.7.1.부로 연기군 전체와 공주시, 청원군 일부를 통합하여 출범 ■  자료제공처:  국가데이터처 지역통계기획팀 ■  자료원출처:  국가데이터처 인구동향과(사망원인통계, 인구동향조사) ■  자료제공주기:  1년 ■  다음자료현행화:  작성기준년도 익년9월 □  정의  - 아동 10만명당 안전사고 사망률 : 아동인구(0~14세) 십만명당 안전사고로 사망한 사람의 수 □  의의  - 아동이 사고로 인하여 사망하는 원인을 파악하고 예방하는 정책수립의 기초자료 활용 □  용어  - 아동 : 0~14세 인구 - 안전사고 : 사망원인분류 중 질병이환 및 사망의 외인에 해당하며, 운수사고, 낙상(추락), 불의의 익사 및 익수, 연기, 불 및 불꽃에 노출, 유독성 물질 중독 및 노출, 기타 외인 등 * 고의적 자해(자살), 가해(타살)는 제외 □  산식  - 아동인구 십만명당 사망률={안전사고 사망자수(0-14세)÷주민등록연앙인구(0-14세)}×100,000 □  참고사항",http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL10005,주제별 > 안전,101,국가데이터처,e-지방지표,N,119,9B08007,e-지방지표,2000,DT_1YL10005,아동 십만명당 안전사고사망률(시도),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=110.1;,MT_GTITLE01,e-지방지표
행정구역별 재난재해 관리기금 현황(A+B) 재난관리기금(A) 재해구호기금(B) 전국 부산광역시 광주광역시 대전광역시 경상남도 제주특별자치도 대구광역시 인천광역시 경기도 충청북도 서울특별시 전라남도 울산광역시 충청남도 전북특별자치도 세종특별자치시 강원특별자치도 경상북도 전남광주통합특별시,2025,112,■  자료제공처:  국가데이터처 지역통계기획팀 ■  자료원출처:  행정안전부(통합재정개요) ■  자료제공주기:  1년 ■  다음자료현행화:  작성기준년도 익년2월 □  정의  - 재난재해관리기금: 재난이나 재해에 대비하기 위해 재난 및 안전관리기본법에 따라 조성되는 기금 □  의의  - 기금의 조성수준을 통해 재난이나 재해의 예방 및 사후복구 등에 대한 지자체의 준비 정도를 파악,http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL10801,주제별 > 사회통합,101,국가데이터처,e-지방지표,N,119,9B08007,e-지방지표,2009,DT_1YL10801,재난재해관리기금현황(시도),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=112.1;,MT_GTITLE01,e-지방지표
행정구역별 지정등록유산  (A+B+C+D) 국가지정유산  (A) 국가등록문화유산  (C) 인천광역시 광주광역시 강원특별자치도 시도지정유산  (B)(문화 자연유산자료 포함) 시도등록문화유산(D) 대구광역시 울산광역시 충청북도 충청남도 전국 경기도 제주특별자치도 전라남도 서울특별시 대전광역시 경상북도 경상남도 부산광역시 세종특별자치시 전북특별자치도 전남광주통합특별시,2025,108,"■  자료제공처:  국가데이터처 지역통계기획팀 ■  자료원출처:  국가유산청(국가유산관리현황) ■  자료제공주기:  1년 ■  다음자료현행화:  작성기준년도 익년2월 □  정의  - 지정 등록유산: 국가지정유산+국가등록문화유산+시 도지정유산+시 도등록문화유산+ 문화 자연유산자료 □  의의  - 국가 및 시도 지정 등록 유산 등록 추이를 파악할 수 있으며, 국가유산 관련 기초통계 자료 및 현황 파악 자료로 활용 □  용어  - 국가지정유산: 문화유산법, 자연유산법, 무형유산법에 따라 국가유산청장이 지정한 중요국가유산 - 시 도지정유산: 국가지정유산으로 지정되지 아니한 것 중 시 도지사가 지정한 유산(문화 자연유산자료 포함) - 국가등록문화유산: 근현대문화유산법에 따라 국가유산청장이 등록한 근현대문화유산 - 시 도등록문화유산: 국가등록문화유산으로 등록되지 아니한 것 중 시 도지사가 등록한 근현대문화유산",http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL10901,주제별 > 문화와 여가,101,국가데이터처,e-지방지표,N,119,9B08007,e-지방지표,2008,DT_1YL10901,국가유산 현황(시도),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=108.1;,MT_GTITLE01,e-지방지표
행정구역별 구인배수 전남광주통합특별시 전국 서울특별시 울산광역시 전북특별자치도 경상북도 충청북도 충청남도 대전광역시 강원특별자치도 경기도 경상남도 제주특별자치도 광주광역시 세종특별자치시 인천광역시 전라남도 부산광역시 대구광역시,2024,106,- 인력수급을 나타내는 지표로 구인배수가 높을수록 일자리를 구하기가 쉬워지고 낮아질수록 일자리를 구하기가 어려워짐 □  산식  - 지역 구분은 구인구직을 등록한 지방노동관서 소재지 기준임 - 구인배수=신규구인인원÷신규구직건수 □  참고사항  - 지역에서 분류불능 제외 ■  자료제공처:  국가데이터처 지역통계기획팀 ■  자료원출처:  한국고용정보원(구인구직통계) ■  자료제공주기:  1년 ■  다음자료현행화:  익익년 1월 □  정의  - 구인배수: 신규구인인원 대비 신규구직건수 □  의의,http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL1101,주제별 > 고용과 노동,101,국가데이터처,e-지방지표,N,119,9B08007,e-지방지표,2003,DT_1YL1101,구인배수(시도),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=106.1;,MT_GTITLE01,e-지방지표
행정구역별 지역구분 계(명) 남자 여자 부산광역시 중구 부산광역시 서구 부산광역시 동구 부산광역시 영도구 부산광역시 금정구 대구광역시 서구 대구광역시 남구 대구광역시 군위군 인천광역시 동구 인천광역시 강화군 인천광역시 옹진군 광주광역시 동구 대전광역시 동구 대전광역시 중구 대전광역시 대덕구 경기도 동두천시 경기도 포천시 경기도 연천군 경기도 가평군 강원특별자치도 강릉시 강원특별자치도 동해시 강원특별자치도 태백시 강원특별자치도 속초시 강원특별자치도 삼척시 강원특별자치도 홍...,2026,101,"■ 자료제공처: 국가데이터처 지역통계기획팀 ■ 자료원출처: 국가데이터처 빅데이터통계과(생활인구) - https://data.mods.go.kr/nowcast/popul_living_gender.do ■ 자료제공주기: 분기 ■ 자료제공시기: 익익분기 □ 정의 - 해당 지역에 거주하거나 체류하면서 생활을 영위하는 사람 □ 의의 - 통신 모바일 데이터를 활용한 생활인구 산정을 통해 인구감소지역 의 맞춤형 정책지원의 기초자료 제공 - 생활인구 : 특정 지역에 거주하거나 체류하면서 생활을 영위하는 사람으로서 어느 하나에 해당되는 사람(①주민 등록한 사람 ②통근 등 특정 지역을 방문 체류한 사람(주민등록지가 아닌 지역을 월 1회, 하루 3시간 이상 체류한 경우) ③등록 외국인) □ 참고사항 □ 용어 - 국가승인통계가 아니며, 통신 모바일데이터를 활용한 통계작성 및 이용 활성화를 위해 도입된 실험적통계(2024-002호) - 「인구감소지역지원 특별법」 및 동법 시행령에 근거하여, 인구감소지역 89개, 인구감소관심지역 18개 시군구 대상으로 작성함",http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL12001E,주제별 > 인구,101,국가데이터처,e-지방지표,N,119,9B08007,e-지방지표,2024,DT_1YL12001E,인구감소지역 생활인구: 성별(시/군/구),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=101.1;,MT_GTITLE01,e-지방지표
행정구역별 지역구분 계(명) 20세미만 20대 30대 40대 50대 60대 70세 이상 충청남도 예산군 충청남도 태안군 전북특별자치도 익산시 전북특별자치도 정읍시 전북특별자치도 남원시 전북특별자치도 김제시 전북특별자치도 진안군 전북특별자치도 무주군 전북특별자치도 장수군 전북특별자치도 임실군 전북특별자치도 순창군 전북특별자치도 고창군 전북특별자치도 부안군 전라남도 담양군 전라남도 곡성군 전라남도 구례군 전라남도 고흥군 전라남도 보성군 전라남도 화순군 전라남도 장흥군 전라남...,2026,101,"□ 참고사항 - 국가승인통계가 아니며, 통신 모바일데이터를 활용한 통계작성 및 이용 활성화를 위해 도입된 실험적통계(2024-002호) - 「인구감소지역지원 특별법」 및 동법 시행령에 근거하여, 인구감소지역 89개, 인구감소관심지역 18개 시군구 대상으로 작성함 - 연령별 자료 중 일부 구간(20대 미만, 70세 이상 등) 데이터는 개인정보보호를 위해 제공되지 않음 ■ 자료제공처: 국가데이터처 지역통계기획팀 ■ 자료원출처: 국가데이터처 빅데이터통계과(생활인구) - https://data.mods.go.kr/nowcast/popul_living_age.do ■ 자료제공주기: 분기 ■ 자료제공시기: 익익분기 □ 정의 - 해당 지역에 거주하거나 체류하면서 생활을 영위하는 사람 □ 의의 - 통신 모바일 데이터를 활용한 생활인구 산정을 통해 인구감소지역 의 맞춤형 정책지원의 기초자료 제공 □ 용어 - 생활인구 : 특정 지역에 거주하거나 체류하면서 생활을 영위하는 사람으로서 어느 하나에 해당되는 사람(①주민 등록한 사람 ②통근 등 특정 지역을 방문 체류한 사람(주민등록지가 아닌 지역을 월 1회, 하루 3시간 이상 체류한 경우) ③등록 외국인)",http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL12002E,주제별 > 인구,101,국가데이터처,e-지방지표,N,119,9B08007,e-지방지표,2024,DT_1YL12002E,인구감소지역 생활인구: 연령별(시/군/구),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=101.1;,MT_GTITLE01,e-지방지표
행정구역별 65세이상 1인가구  (A) 전체 일반가구  (B) 독거노인가구비율  (A÷B×100) 광주광역시 강서구 연제구 서구 과천시 하남시 용인시 포천시 춘천시 원주시 강릉시 괴산군 보령시 충남 당진군 전주시 순창군 영천시 경산시 칠곡군 경남 마산시 의령군 산청군 중구 성동구 성북구 강서구 영등포구 동작구 강동구 동구 북구 담양군 영광군 완도군 금정구 사상구 동구 서구 달서구 영종구 옹진군 울산광역시 중구 남구 의정부시 안양시 여수시 고흥군 진도군 신안군 서구 남구 ...,2025,102,"■  자료제공처:  국가데이터처 지역통계기획팀 ■  자료원출처:  국가데이터처 인구총조사과(인구총조사) ■  자료제공주기:  1년 ■  다음자료현행화:  조사기준년도 익년9월 □  정의  - 일반가구: 가족으로 이루어진 가구, 가족과 5인 이하의 남남이 함께 사는 가구, 1인가구, 가족이 아닌 남남끼리 함께 사는 5인 이하의 가구 □  참고사항  - 집단가구 및 외국인가구 제외 - 일반가구 내 외국인도 포함 - 매년 7.1.시점의 자료이며, 작성대상 인구는 국적과 상관없이 대한민국에 상주하는 인구임 - 인구총조사 등록센서스 실시로 2015년 부터 1년단위로 자료제공 - 고령화 사회에서 가장 중요한 노인들의 생활의 질을 보여주는 지표로 혼자 사는 노인의 경우 대부분 사회적으로 고립되어 경제적인 측면 뿐 아니라 사회관계 측면에서는 어려움에 직면하고 있어 노인들의 삶의 질 측정에 중요한 지표임 - 독거노인가구비율: 전체 일반가구 중 혼자 살고 있는 노인가구의 비율 □  의의  □  산식  - 독거노인가구비율(%)=(65세이상 1인가구 수÷전체 일반가구 수)×100 □  용어",http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL12701,주제별 > 가족,101,국가데이터처,e-지방지표,N,119,9B08007,e-지방지표,2000,DT_1YL12701,독거노인가구비율(시도/시/군/구),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=102.1;,MT_GTITLE01,e-지방지표
행정구역별 보건및사회복지사업체 비율  (A÷B×100) 보건업 및 사회복지서비스업 사업체수  (A) 전산업 사업체수  (B) 평창군 고성군 충북 청원군 보령시 부여군 태안군 전라남도 광양시 함평군 양주시 춘천시 인제군 속초시 양평군 태백시 화천군 양양군 충주시 괴산군 증평군 논산시 정읍시 진안군 경상북도 경주시 김천시 예천군 경남 진해시 김해시 고성군 하동군 제주시 중구 중랑구 동작구 강남구 강동구 부산광역시 해운대구 연제구 수영구 중구 달서구 인천광역시 경기도 동두천시...,2019,112,■  자료제공처:  국가데이터처 지역통계기획팀 ■  자료원출처:  국가데이터처 경제총조사과(전국사업체조사) ■  자료제공주기:  1년 ■  다음자료현행화:  조사기준년도 익년12월 □  정의  - 보건 및 사회복지 사업체 비율: 전체 사업체 중 ＇보건업 및 사회복지 서비스업＇ 사업체의 비율 □  의의  - 해당분야 사업체의 지역별 변동을 통해 해당 산업분야의 발전정도를 파악하여 해당산업 육성을 위한 지역정책 기초자료로 활용 □  산식  - 보건 및 사회복지 사업체 비율=(보건업 및 사회복지서비스업 사업체수÷전산업 사업체수)×100,http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL13001,주제별 > 사회통합,101,국가데이터처,e-지방지표,N,119,9B08007,e-지방지표,2006,DT_1YL13001,보건 및 사회복지 사업체비율(시도/시/군/구),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=112.1;,MT_GTITLE01,e-지방지표
