CONTENTS,END_PRD_DE,FULL_PATH_ID,ITEM03,LINK_URL,MT_ATITLE,ORG_ID,ORG_NM,QUERY,REC_TBL_SE,STAT_DB_CNT,STAT_ID,STAT_NM,STRT_PRD_DE,TBL_ID,TBL_NM,TBL_VIEW_URL,VW_CD,_keyword
행정구역별 주관적 건강수준인지율 성동구 영등포구 용산구 기장군 동래구 사하구 연제구 달성군 옹진군 울산광역시 고양시 양주시 양평군 파주시 하남시 성남시 용인시 영월군 충주시 충청남도 서산시 서천군 예산군 홍성군 전북특별자치도 군산시 완주군 김제시 임실군 전주시 구미시 문경시 영덕군 영주시 포항시 합천군 노원구 도봉구 동작구 마포구 중랑구 남구 남구 서구 중구 계양구 유성구 남구 제주특별자치도 산청군 의령군 함양군 강북구 구로구 성북구 부산광역시 수영구 영도구 대구광역시 미추홀구 ...,2025,103,■ 자료제공처: 국가데이터처 지역통계기획팀 ■ 자료원출처: 질병관리청(지역사회건강조사) ■ 자료제공주기: 1년 ■ 자료제공시기: 조사기준년도 익년5월 □ 정의 - 주관적 건강수준 인지율: 평소에 본인의 건강이 “매우 좋음” 또는 “좋음” 으로 응답한 사람의 비율 □ 의의 - 개인의 건강에 대한 주관적 인식을 파악해 건강 관련 정책 및 연구의 기초자료로 활용,http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL21011E,주제별 > 건강,101,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_1YL21011E,주관적 건강수준인지율(시도/시/군/구),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=103.1;,MT_GTITLE01,지역사회건강조사
시군구별 건강생활실천율(표준화율) 서울특별시 강남구 중구 중랑구 부산광역시 강동구 강북구 강서구 관악구 광진구 구로구 금천구 노원구 도봉구 동대문구 동작구 마포구 서대문구 서초구 성동구 성북구 송파구 양천구 영등포구 용산구 은평구 종로구 강서구 금정구 기장군 남구 동구 동래구 부산진구 북구 사상구 사하구 서구 수영구 연제구 영도구 중구 해운대구 대구광역시 남구 달서구 달성군 동구 북구 서구 수성구 중구 인천광역시 강화군 계양구 미추홀구 남동구 남구 동구 서구 유성구 중구 울산광역시 ...,2025,103,"■ 자료제공처: 국가데이터처 지역통계기획팀 ■ 자료원출처: 질병관리청(지역사회건강조사) ■ 자료제공주기: 1년 ■ 자료제공시기: 조사기준년도 익년5월 □ 참고사항 - 정의: 금연, 절주, 걷기를 모두 실천하는 사람의 분율(%) - 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 국가데이터처)로 보정한 결과(표준화율)",http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL202102E,주제별 > 건강,101,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_1YL202102E,건강생활실천율(시도/시/군/구),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=103.1;,MT_GTITLE01,지역사회건강조사
행정구역별 고위험음주율 군위군 무주군 익산시 강진군 목포시 장흥군 함평군 경산시 영주시 남해군 의령군 진주시 함양군 제주특별자치도 구로구 은평구 남구 서구 대구광역시 수성구 남동구 울주군 경기도 가평군 여주시 광명시 광주시 영월군 정선군 음성군 부여군 청양군 진안군 무안군 보성군 성주군 영양군 울릉군 김해시 통합창원시 하동군 남양주시 중구 중구 세종특별자치시 오산시 용인시 인제군 화천군 충청북도 단양군 제천시 충청남도 부안군 정읍시 고흥군 광양시 나주시 여수시 경상북도 ...,2025,103,"■ 자료제공처: 국가데이터처 지역통계기획팀 ■ 자료원출처: 질병관리청(지역사회건강조사) ■ 자료제공주기: 1년 ■ 자료제공시기: 조사기준년도 익년5월 □ 정의 - 고위험음주율: 최근 1년 동안 음주한 사람 중에서 남자는 한 번의 술자리에서 7잔 이상(또는 맥주 5캔 정도), 여자는 5잔 이상(또는 맥주 3캔 정도)을 주 2회 이상 마시는 사람의 비율 □ 의의 - 시·군·구 단위 고위험 음주군의 비율을 파악하여 지역의 음주 관련 정책 수립 및 평가의 기초자료로 활용 □ 산식 - 고위험음주율= (연간 음주자이면서 1회 평균 남자 7잔(여자 5잔)이상을 주2회 이상 마신 사람수÷만19세 이상 연간음주자)×100",http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL20291E,주제별 > 건강,101,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_1YL20291E,고위험음주율(시도/시/군/구),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=103.1;,MT_GTITLE01,지역사회건강조사
시군구별 미충족의료율(표준화율) 군위군 서울특별시 강남구 강동구 강북구 강서구 관악구 광진구 구로구 금천구 노원구 도봉구 동대문구 동작구 마포구 서대문구 서초구 성동구 성북구 송파구 양천구 영등포구 중랑구 은평구 종로구 중구 부산광역시 강서구 금정구 기장군 남구 동구 동래구 부산진구 북구 사상구 사하구 서구 수영구 연제구 영도구 중구 해운대구 대구광역시 남구 달서구 달성군 동구 북구 서구 수성구 중구 인천광역시 강화군 계양구 미추홀구 남동구 동구 부평구 서구 연수구 옹진...,2025,103,"■ 자료제공처: 국가데이터처 지역통계기획팀 ■ 자료원출처: 질병관리청(지역사회건강조사) ■ 자료제공주기: 1년 ■ 자료제공시기: 조사기준년도 익년5월 □ 참고사항 - 정의: 최근 1년 동안 본인이 병의원(치과 제외)에 가고 싶을 때 가지 못한 사람의 분율(%) - 연도 및 지역간 비교를 위해 인구구성 차이에 따른 영향을 표준인구(2005년 추계인구, 국가데이터처)로 보정한 결과(표준화율)",http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL202104E,주제별 > 건강,101,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2019,DT_1YL202104E,미충족의료율(시도/시/군/구),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=103.1;,MT_GTITLE01,지역사회건강조사
행정구역별 스트레스 인지율 군위군 도봉구 성북구 용산구 종로구 부산진구 동구 수성구 서구 광주광역시 서구 중구 경기도 과천시 강진군 동두천시 이천시 군포시 평택시 강원특별자치도 삼척시 충청북도 괴산군 증평군 태안군 광명시 안양시 의정부시 화성시 강릉시 속초시 양양군 춘천시 횡성군 청원군 충주시 보령시 고흥군 광양시 구례군 영광군 완도군 장흥군 함평군 화순군 예천군 창녕군 동대문구 양천구 동래구 사하구 수영구 대구광역시 북구 인천광역시 계양구 북구 중구 가평군 부천시 양평...,2025,103,■ 자료제공처: 국가데이터처 지역통계기획팀 ■ 자료원출처: 질병관리청(지역사회건강조사) ■ 자료제공주기: 1년 ■ 자료제공시기: 조사기준년도 익년5월 □ 정의 - 스트레스인지율: 평소 일상생활 중 스트레스를 “대단히 많이” 또는 “많이” 느끼는 사람의 비율 □ 의의 - 정신건강을 측정하는 대표적인 지표,http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL21041E,주제별 > 건강,101,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_1YL21041E,스트레스인지율(시도/시/군/구),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=103.1;,MT_GTITLE01,지역사회건강조사
시군구별 표준화율표준오차 조율표준오차 조율 응답자수 표준화율 남구 연제구 북구 중구 중구 세종특별자치시 가평군 양평군 광명시 광주시 중원구 수원시 서산시 성주군 거창군 창원시 동부 서울특별시 강남구 서대문구 성동구 영등포구 부산광역시 북구 사상구 달성군 동구 서구 수성구 옹진군 울산광역시 동구 북구 중구 세종시 고양시 일산서구 김포시 여주시 하남시 군포시 권선구 의왕시 고성군 철원군 횡성군 보은군 증평군 북구 밀양시 양산시 의령군 통영시 서귀포시 서부 관악구 용산구 종로...,2025,F > F_001 > F_001_001 > F_001_001_007,"○ 해당 문항은 2017년부터 조사 실시 ○ * : 변동계수(coefficient fo variation) 25-50%, ** : 변동계수 50% 이상 ○ 2023년부터 ＂군위군＂ 관할구역 변경: (기존) 경상북도 -> (변경후) 대구광역시 ○ 정의: 우울증선별도구(PHQ-9) 점수 총합이 10점 이상인 분율(%)",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_117075_H_MENTAL_DEPRESS_SYM,보건 > 지역사회건강조사 > 건강행태 > 정신건강,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2017,DT_117075_H_MENTAL_DEPRESS_SYM,시·군·구별 우울증상유병률,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_001.3;F_001_001_007.4;,MT_ZTITLE,지역사회건강조사
시군구별 조율 표준화율 표준화율표준오차 조율표준오차 응답자수 광진구 동대문구 부산광역시 기장군 동구 동래구 북구 강화군 부평구 서구 대전광역시 동구 중구 가평군 남양주시 오정구 광명시 분당구 권선구 안산시 오산시 기흥구 평택 양구군 인제군 춘천시 청주시 서원구 흥덕구 계룡시 논산시 고흥군 장성군 화순군 밀양시 제주특별자치도 강남구 금정구 송파구 안동시 남해군 진주시 함안군 강서구 용산구 중구 중랑구 서구 중구 대구광역시 남동구 동구 동구 북구 세종특별자치시 김포시 여주시...,2025,F > F_001 > F_001_001 > F_001_001_007,"○ 정의: 평소 일상생활 중 스트레스를 ＂대단히 많이＂ 또는 ＂많이＂ 느끼는 분율(%) ○ * : 변동계수(coefficient fo variation) 25-50%, ** : 변동계수 50% 이상 ○ 2023년부터 ＂군위군＂ 관할구역 변경: (기존) 경상북도 -> (변경후) 대구광역시",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_H_MENTAL_STRESS,보건 > 지역사회건강조사 > 건강행태 > 정신건강,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_H_MENTAL_STRESS,시·군·구별 스트레스 인지율,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_001.3;F_001_001_007.4;,MT_ZTITLE,지역사회건강조사
시군구별 응답자수 표준화율표준오차 조율표준오차 조율 표준화율 강동구 광진구 영등포구 은평구 사하구 수영구 대구광역시 달서구 달성군 군위군 동구 광산구 동구 대전광역시 대덕구 고양시 여주시 파주시 만안구 서부 단양군 옥천군 충주시 청원구 논산시 당진시 보령시 태안군 홍성군 무주군 구례군 담양군 무안군 장성군 영덕군 영주시 의성군 거창군 마산 밀양시 의령군 진주시 합천군 제주시 서부 강남구 성동구 북구 유성구 수정구 중원구 권선구 팔달구 시흥시 단원구 수지구 평택 아산시 부...,2025,F > F_001 > F_001_001 > F_001_001_001,"○ 정의 : 담배 종류와 상관없이 현재흡연자 중 최근 1년 동안 담배를 끊고자 24시간 이상 금연을 시도한 적이 있는 분율(%) ○ * : 변동계수(coefficient fo variation) 25-50%, ** : 변동계수 50% 이상 ○ 2023년부터 ＂군위군＂ 관할구역 변경: (기존) 경상북도 -> (변경후) 대구광역시",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_SM_TRY_V2,보건 > 지역사회건강조사 > 건강행태 > 흡연,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2020,DT_SM_TRY_V2,시·군·구별 금연시도율(담배제품 현재사용자),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_001.3;F_001_001_001.4;,MT_ZTITLE,지역사회건강조사
행정구역별 흡연율 강서구 서대문구 종로구 동래구 영도구 중구 중구 가평군 여주시 파주시 삼척시 속초시 철원군 평창군 논산시 전북특별자치도 완주군 곡성군 순천시 함평군 영양군 청도군 밀양시 사천시 진주시 창녕군 하동군 서울특별시 강동구 관악구 서초구 송파구 은평구 기장군 남구 서구 연제구 강화군 계양구 미추홀구 연수구 중구 동구 서구 서구 경기도 고양시 연천군 안산시 화성시 화천군 진천군 남원시 부여군 서천군 홍성군 무주군 보성군 군위군 문경시 상주시 영천시 울릉군 칠곡군...,2025,103,■ 자료원출처: 질병관리청(지역사회건강조사) ■ 자료제공주기: 1년 ■ 자료제공시기: 조사기준년도 익년5월 - 흡연율: 평생(지금까지) 5갑(100개비) 이상 흡연한 사람으로서 현재 흡연(＂＂매일 피움＂＂ 또는 ＂＂가끔 피움＂＂) 하는 사람의 비율 □ 의의 - 시·군·구 단위 주민 흡연 현황을 파악하여 지역 흡연 관련 정책 수립 및 평가의 기초자료로 활용 □ 용어 - 현재흡연자: 평생 담배 5갑(100개비) 이상 흡연한 사람으로서 현재도 담배를 피우는 사람 □ 정의 ■ 자료제공처: 국가데이터처 지역통계기획팀,http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL21001E,주제별 > 건강,101,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_1YL21001E,흡연율(시도/시/군/구),https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=103.1;,MT_GTITLE01,지역사회건강조사
시군구별 표준화율표준오차 응답자수 조율표준오차 표준화율 조율 마산 동구 광산구 남구 일산동구 과천시 소사구 광명시 영통구 장안구 시흥시 안산시 기흥구 강원특별자치도 동해시 철원군 보은군 제천시 증평군 김제시 무주군 완주군 임실군 정읍시 강진군 곡성군 광양시 무안군 영암군 안동시 영주시 남구 북구 남해군 함안군 서부 관악구 금천구 도봉구 금정구 동래구 북구 달서구 군위군 강화군 부평구 중구 가평군 덕양구 오정구 횡성군 수원시 안양시 만안구 서산시 연기군 전주시 목포시 신안...,2025,F > F_001 > F_001_001 > F_001_001_004,"○ 정의: 최근 1주일 동안 1회 10분 이상, 1일 30분 이상 걷기를 주 5일 이상 실천한 분율(%) ○ 2023년부터 ＂군위군＂ 관할구역 변경: (기존) 경상북도 -> (변경후) 대구광역시",http://kosis.kr/statHtml/statHtml.do?orgId=177&tblId=DT_H_EX_WALK,보건 > 지역사회건강조사 > 건강행태 > 신체활동,177,질병관리청,지역사회건강조사,N,5050,2008057,지역사회건강조사,2008,DT_H_EX_WALK,시·군·구별 걷기 실천율,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=F.1;F_001.2;F_001_001.3;F_001_001_004.4;,MT_ZTITLE,지역사회건강조사
